0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:23 +0900] "GET /MavenSample02/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:23 +0900] "GET /MavenSample02/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:29 +0900] "GET /MavenSample02/main.jsp HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:48:30 +0900] "GET /MavenSample02/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:49:32 +0900] "GET /MavenSample02/join_success.jsp HTTP/1.1" 200 1600
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:51:18 +0900] "GET /MavenSample02/select.jsp HTTP/1.1" 200 1343
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:52:40 +0900] "GET /MavenSample02/main.jsp HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:52:45 +0900] "GET /MavenSample02/main.jsp HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:53:02 +0900] "GET /MavenSample02/main.jsp HTTP/1.1" 200 7539
0:0:0:0:0:0:0:1 - - [06/Mar/2024:21:53:57 +0900] "GET /MavenSample02/main.jsp HTTP/1.1" 200 7539
